danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
0.873,0.663,1,-4.086,1,0.15,0.0216,0.000356,0.0867,0.525,135.499,Rap
0.845,0.631,7,-8.206,0,0.216,0.188,0.00E+00,0.0806,0.545,111.983,Rap
0.864,0.598,11,-8.076,1,0.238,0.0673,0.00E+00,0.154,0.464,107.93,Rap
0.791,0.839,11,-4.284,1,0.266,0.0588,6.26E-05,0.259,0.383,170.113,Rap
0.732,0.772,2,-6.142,0,0.267,0.194,1.54E-06,0.242,0.493,123.009,Rap
0.611,0.688,1,-5.688,1,0.341,0.0264,0,0.251,0.393,178.462,Rap
0.957,0.767,0,-5.116,1,0.115,0.0525,0,0.117,0.577,110.508,Rap
0.53,0.843,1,-2.271,1,0.39,0.428,0,0.164,0.919,199.946,Rap
0.826,0.474,1,-11.705,1,0.479,0.298,0,0.114,0.266,162.182,Rap
0.836,0.627,6,-4.377,0,0.197,0.143,0,0.0657,0.652,142.99,Rap
0.797,0.731,9,-4.443,0,0.0479,0.229,0,0.224,0.623,146.93,Rap
0.769,0.627,7,-4.064,1,0.262,0.394,0.00E+00,0.106,0.49,157.938,Rap
0.778,0.573,10,-7.339,0,0.251,0.015,0,0.464,0.269,140.114,Rap
0.81,0.353,6,-9.931,0,0.31,0.588,0,0.102,0.0727,88.031,Rap
0.683,0.799,1,-5.923,1,0.3,0.456,0,0.264,0.752,145.128,Rap
0.731,0.811,1,-3.225,1,0.0712,0.0204,0,0.411,0.426,147.045,Rap
0.848,0.649,2,-6.083,1,0.315,0.232,0.00E+00,0.101,0.629,118.04,Rap
0.902,0.621,9,-5.315,1,0.199,0.0841,0.00E+00,0.138,0.497,114.007,Rap
0.86,0.507,0,-5.776,0,0.369,0.0408,6.15E-06,0.14,0.15,85.005,Rap
0.688,0.642,4,-5.567,0,0.321,0.221,0,0.2,0.341,160.319,Rap
0.86,0.507,0,-5.776,0,0.369,0.0412,6.55E-06,0.13,0.15,85.005,Rap
0.854,0.48,9,-7.388,0,0.293,0.208,0.00E+00,0.127,0.293,86.049,Rap
0.837,0.586,11,-8.521,0,0.0807,0.281,0,0.134,0.618,117.066,Rap
0.642,0.782,5,-3.395,0,0.0477,0.381,0.00E+00,0.108,0.396,162.005,Rap
0.748,0.771,6,-4.156,1,0.15,0.101,0,0.135,0.792,142.086,Rap
0.736,0.708,11,-7.737,0,0.0898,0.154,0.00E+00,0.219,0.273,127.996,Rap
0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,Rap
0.702,0.708,10,-5.366,0,0.0547,0.201,0,0.118,0.713,147.98,Rap
0.443,0.691,11,-6.228,0,0.124,0.205,0,0.547,0.344,148.385,Rap
0.474,0.546,5,-7.201,0,0.268,0.0924,1.45E-06,0.153,0.244,140.707,Rap
0.752,0.586,6,-12.73,1,0.436,0.0606,0.00E+00,0.118,0.897,160.961,Rap
0.706,0.733,5,-4.942,1,0.097,0.069,0.154,0.823,0.683,135.996,Rap
0.78,0.828,8,-2.235,1,0.237,0.409,0,0.104,0.786,160.113,Rap
0.892,0.486,11,-8.637,0,0.384,0.048,0,0.146,0.535,120.998,Rap
0.888,0.522,1,-5.867,1,0.0978,0.0427,0,0.104,0.491,98.003,Rap
0.779,0.455,1,-15.025,1,0.28,0.0542,0.00E+00,0.177,0.197,140.181,Rap
0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.708,145.99,Rap
0.905,0.575,1,-8.64,1,0.0881,0.067,2.22E-05,0.0602,0.365,115.031,Rap
